variable_x,variable_y,source_x,source_y,correlation_method,r,p_value,n_rows,n_participants,city,season,wearable_field_indicator_flag,status,notes
O3_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.030250332653270443,0.7114144259459932,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
O3_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.1486168475158505,0.06765354910208905,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
O3_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.18586251561521078,0.021873096020563688,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
NO2_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.0693592470402637,0.39583544382818864,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
NO2_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.03993619697342295,0.6251978570469385,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
NO2_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.18976835904064795,0.019199881059882004,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
NO2_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.23584101914029348,0.003444373347099671,152,27,Milan,Winter,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.2214251674192519,0.038147809344367546,88,13,Thessaloniki,Summer,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepLight,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.30137091554788326,0.004326168715504251,88,13,Thessaloniki,Summer,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepDeep,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.432894478593685,2.5264812060982535e-05,88,13,Thessaloniki,Summer,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Temp_uHoo,SleepREM,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,-0.35513913393960017,0.0006856419015737748,88,13,Thessaloniki,Summer,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
Humi_uHoo,SleepTotal,residential uHoo IAQ,Garmin-derived wearable sleep indicator,Pearson,0.19141002850189037,0.0740234073988596,88,13,Thessaloniki,Summer,wearable-derived field indicator; not clinical or polysomnography-equivalent,PASS,Aggregate pairwise complete correlation; participant-night rows not exported.
